ID,Answer
0,長劍
1,《諸羅縣志》
2,袁晁
3,柏林陸軍學院
4,長盤勝負
5,田漢
6,1874年
7,西漢的版圖向西擴張
8,英國
9,為運送郵件繳納了事先規定好的郵資
10,周星馳
11,尾張中村
12,無障礙環境
13,anticipation，即預測
14,2004年
15,亞硫酸
16,華萊士
17,
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,1858年
25,外交活動
26,拉丁文
27,猶太基督徒
28,1964年
29,霍克菲爾德
30,文化大革命
31,阿普列尤斯
32,灣仔
33,振州
34,形容一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,沒有
39,南人
40,南宋
41,四千名
42,46億年
43,1070年
44,《國民養老保險法》
45,第一教學樓
46,1929年
47,航天技術
48,1932年
49,大型購物中心[UNK]開幕
50,
51,武漢水利電力大學
52,1962年
53,亞歷山大一世被刺殺
54,紐約市
55,基督教
56,
57,100萬
58,板橋區
59,占領中環
60,凡爾賽宮落成之後，路易十四即將全國主要貴族集中於凡爾賽宮居住。從1682年到1789年，法國的政治、外交決策都在凡爾賽宮決定，凡爾賽成了事實上的法國首都。為了顯示王權的威嚴，路易十四和路易十五
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,夫餘對漢軍的援助，高句麗的攻擊沒能取得勝利
66,李宗仁
67,宋代
68,噴射發動機
69,弘治十二年
70,亞洲
71,1994年
72,美國、英國
73,氦
74,經過依納爵長久的薰陶
75,高速公路
76,高麗大學校主樓
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,複合式裝甲
93,大躍進運動
94,武漢水利電力大學
95,克利奧爾語
96,1934年
97,檸檬酸咖啡因療法
98,1876年
99,1949年
100,大象
101,1915年
102,1600年
103,異裂
104,美國
105,高盧帝國
106,朝鮮仁祖
107,
108,佛學論書
109,南區公所
110,歐登堡
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,北方邦
117,樂比賽
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,全國人民代表大會
122,
123,陳寅恪
124,高句麗安藏王被刺殺
125,未標準化
126,瑞派克路
127,1939年
128,
129,福建林家
130,用來運貨
131,民主黨
132,西人黨
133,2013年
134,昆明
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,38%
139,1939年
140,政府資助研究項目
141,刊物點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,李善蘭
147,二毛子
148,勃艮地人
149,德蘇戰爭
150,髒層
151,工業國家
152,1949年
153,就業保障制度
154,清光緒十七年
155,
156,國共內戰戰況失利
157,六個月
158,乙醚
159,藥葛羅
160,卡爾梅克人
161,1969年11月12日凌晨6時45分
162,63位
163,副大法官
164,古希臘時代
165,盧安達語
166,填海得來
167,汪兆銘
168,農民
169,[UNK]++
170,9月1日
171,1999年
172,天淨沙》
173,二次大戰
174,公元68年
175,趙佗
176,直角三角形
177,岑智明
178,與法國爭奪歐洲大陸霸權
179,前362年
180,強力政府
181,28歲
182,2000年10月
183,保加利亞
184,
185,25~27度
186,日本社會黨
187,聯合國
188,波士頓
189,1992年
190,下旋球
191,後箱館裁判所
192,明朝
193,1863年
194,1876年
195,2012年
196,考古發現在約西元前8200年前的中國湖南。在1993年，考古隊在道縣玉蟾岩
197,克萊門森級
198,森林
199,阿森納女子足球俱樂部
200,多黨制
201,特式食肆
202,1920年
203,
204,多倫多。此外，多倫多
205,列車前面拉動
206,功利主義》、《女性的屈從地位》與《論社會主義
207,反貪污特警隊
208,艾瑪·史東
209,在時域上數學形式為連續函式的訊號
210,生命力與流動性
211,亞歷山大一世
212,威尼斯影展
213,熱帶，全市地勢均於海拔1000米以上的雲貴高原上，但也因同時受到其南部中南半島的海洋氣流影響，加上地理位置上正處在冬季於中國活躍的兩般高壓區之間的真空帶
214,新北市
215,最根本
216,甲午戰爭
217,克孜勒
218,三分天災
219,好在歷史是人民寫的
220,美觀
221,駐廠商
222,西部地區
223,1982年
224,1428年
225,部落最高領袖或皇帝之意
226,多瑙河
227,莫斯科中山大學
228,美國發明家
229,
230,沒有
231,中國器官移植手術
232,1262年
233,為增加米、糖等農作物產量
234,19%
235,質量大於0.4太陽質量
236,颱風
237,2016年
238,1968年
239,第六
240,
241,鋁土礦
242,萬神廟
243,布農族文化為射耳祭與小米祭、皮衣製作技巧、多音部合唱；鄒族
244,黑死病
245,2007年
246,查普曼
247,由於據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,波士頓塞爾提克隊
250,溥[UNK]
251,副主席
252,當雙方在一盤中戰至6比6時
253,廣東省政府委員會
254,
255,1951年
256,拉丁字母為基礎的拼音方案，是為漢語拼音方案
257,
258,地面車站
259,下薩克森邦
260,法蘭西第二帝國
261,商業
262,全勝紀錄
263,夜間攔截任務上，二戰時期的使用經驗延伸出兩種發展路線。一種是利用小型雷達測距儀追蹤目標的距離，協助飛行員找到最佳射擊時機，提高一般飛行員的命中率
264,哥白尼日心說
265,濃度低時
266,雍正年間皇帝在舉行親耕禮之前在此演禮。豐澤園內主體建築為惇敘殿，光緒年間改名為頤年殿，民國時改名頤年堂，袁世凱
267,明朝
268,1848年
269,1954年
270,1998年
271,共同民主黨
272,《南華早報》
273,可以麻痺嗅覺神經
274,佛像
275,阿聯
276,灣仔發展計劃第二期
277,坦克集團軍
278,田川氏
279,天狼星在東方地平線的出現
280,自律心肌細胞
281,1975-1985年
282,德語地區
283,離島機場
284,1237年
285,東羅馬
286,晉恭帝
287,荷蘭
288,美國律師協會
289,1654年
290,清代
291,廣開土大王
292,胡安·林茲
293,日本
294,1998年1月1日
295,橫越天空
296,孟懷玉
297,細胞外的鈣離子
298,
299,羅納爾迪尼奧
300,慕容垂
301,火山活動
302,利奧三世
303,
304,要提升飛機的飛行安全
305,丁基羥基甲苯
306,辛亥革命
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,《馬德里議定書
314,446種
315,曹魏故都智慧之旅
316,威廉港的貨櫃碼頭亞德港
317,
318,金本位制
319,邊沁的效益主義思想，指出倫理學領域的終極問題解決完全可訴諸效益主義原則，綜合前人理論彌爾
320,紅色
321,1928年
322,金融期貨
323,十多個
324,300美元
325,楊宇霆
326,大力發展體育事業
327,元世祖
328,燃油混合動力電動自行車
329,數學
330,亞熱帶季風氣候
331,經濟
332,目前沒有觀察到任何語言純[UNK]以力道來區分不同輔音
333,朱一貴
334,凱爾特部落群
335,失分
336,銃炮
337,1960年、1961年
338,1980年代
339,凱·艾維
340,高句麗
341,1980年
342,拉丁文
343,心肌梗塞
344,2010年
345,武漢
346,1868年
347,托土拉島
348,英國
349,倫敦大學
350,越野時
351,岡仁波齊峰
352,1973年
353,突厥
354,三菱重工業長崎造船廠
355,南斯拉夫人
356,民主制度的恢復
357,硫礦
358,丹尼索瓦人混血
359,忽必烈
360,中國
361,2000年
362,拉直
363,空軍
364,1955年
365,韓國
366,鹽島
367,1964年
368,史都華中校
369,1910年
370,突厥語族部落
371,在沙阿摩訶末時期崛起
372,1978年
373,1928年
374,激進組織
375,巴爾的摩市
376,中華民國政府
377,社團部
378,認為伊迪絲分散了托爾金對學業的注意力
379,電子郵件
380,元武宗時期，加封孔子
381,楊浦區大連路
382,2005年
383,長期以來，中國對處決犯人一直採取保密的措施
